,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-01-05 19:00:00+01:00,54.66,-8.999386,-10.288478,-7.4528255,-8.781884,1.5697794,48.82364,13.669005,8.0
2021-01-05 20:00:00+01:00,40.78,-7.858859,-10.6414585,-6.4678564,-9.116827,1.5628271,53.553642,13.228844,8.0
2021-01-05 21:00:00+01:00,39.6,-7.542467,-11.02156,-6.209999,-9.514601,1.565156,55.614708,13.355283,8.0
2021-01-05 22:00:00+01:00,32.06,-6.9637966,-11.4145,-5.6909647,-9.8345995,1.5905285,58.613335,13.371061,8.0
2021-01-05 23:00:00+01:00,29.21,-5.9870586,-11.715404,-4.9206066,-10.096469,1.6015654,62.931084,13.156578,8.0
2021-01-06 00:00:00+01:00,29.83,-6.0621557,-11.879871,-4.9841995,-10.205545,1.6217127,62.965332,13.337206,8.0
2021-01-06 01:00:00+01:00,28.72,-5.4314775,-12.291653,-4.4210024,-10.502775,1.6345844,66.160164,13.438217,8.0
2021-01-06 02:00:00+01:00,28.11,-5.408803,-12.263569,-4.4330606,-10.489526,1.6295576,66.2003,13.403368,8.0
2021-01-06 03:00:00+01:00,27.98,-5.4294214,-12.515064,-4.4722204,-10.705616,1.6298351,66.54732,13.642047,8.0
2021-01-06 04:00:00+01:00,28.16,-5.3787994,-13.057027,-4.389022,-11.145149,1.6485996,67.610954,14.121524,8.0
2021-01-06 05:00:00+01:00,29.0,-5.132451,-13.296458,-4.1674957,-11.301199,1.6737928,68.89336,14.252645,8.0
2021-01-06 06:00:00+01:00,30.72,-5.143778,-13.016773,-4.114827,-11.066666,1.6851435,68.43779,13.9962435,8.0
2021-01-06 07:00:00+01:00,35.54,-6.611491,-12.210714,-5.358776,-10.440754,1.6981363,61.566673,13.885725,8.0
2021-01-06 08:00:00+01:00,39.18,-8.805042,-10.523155,-7.2306023,-9.034477,1.705719,50.079773,13.72099,8.0
2021-01-06 09:00:00+01:00,41.88,-10.095625,-8.781874,-8.375903,-7.5745296,1.6935768,41.019012,13.380693,8.0
2021-01-06 10:00:00+01:00,46.07,-10.463713,-7.1344557,-8.76399,-6.215476,1.6335697,34.287277,12.664507,8.0
2021-01-06 11:00:00+01:00,45.27,-10.106707,-6.3525076,-8.620185,-5.5943794,1.5471916,32.15117,11.93733,8.0
2021-01-06 12:00:00+01:00,46.21,-9.875466,-4.914467,-8.4696245,-4.417055,1.4198904,26.45697,11.030722,8.0
2021-01-06 13:00:00+01:00,47.35,-9.630759,-4.0106144,-8.360852,-3.6491308,1.3055944,22.608704,10.432476,6.8547372139152944
